sen_coding,votes
Elk tweetal krijgt een flesje.,0.0
De inspectie voor de gezondheidszorg neemt aan dat er een causaal verband is.,0.0
"Ja, dit is allemaal goed geregeld, maar wie zijn weer de dupe?",1.0
De oversteek is zwaar.,1.0
Er is flink wat concurrentie.,0.0
Maar ook de alertheid onder badmeesters nam toe.,0.0
"Er zijn morgen veel wolken, maar in het zuiden... kan de zon zich heel even laten zien.",0.0
"Ik kan niet turnen, dat wilde ik wel gaan doen.",0.0
Op deze plaats komt nieuwbouw en dat kan de komende tijd overlast geven voor de reiziger.,0.0
We beloven dat we over alle onderwerpen zullen meestemmen met de Russen... als we toch naar het WK mogen.,1.0
De politie arresteerde hem na de actie.,0.0
Het Algemeen Dagblad schrijft: Wij pleiten voor een hashtack-sinterklaasbestand.,0.0
Hoe kunnen we klimaatverandering tegengaan?,2.0
Het Syrische staatsleger kreeg bij de operatie hulp van de Russen.,0.0
Maar om tegelijk parmantig het individu het recht op zelfbeschikking te ontzeggen omdat zulks 'tot het verleden behoort' is onjuist en gaat ook te ver.,1.0
Deze laptop of die bij jou thuis kan gegijzeld worden door ransomeware.,0.0
Ook bij het bedrijfsleven is de cao-loonstijging al lange tijd heel erg gematigd.,0.0
"Ja, en als dat allemaal in orde is, dan wordt voor deze viervoeters een baasje gezocht.",0.0
Sindsdien zit in hier in de Penitentiaire Inrichting in Vught.,0.0
Wat zag je allemaal in onze uitzending?,2.0
Want hij is ziek in zijn hoofd?,1.0
MUZIEKJE Welkom op het WK voor levende standbeelden.,0.0
"Charlie lijdt aan een zeldzame ziekte, waardoor zijn hersens en spieren ernstig zijn verzwakt... en hij niet meer zelf kan ademen.",0.0
Dat vind ik best cool.,1.0
Anderen leven nog in opvangkampen buiten Mosul.,0.0
De kinderpostzegel-actie staat sinds vandaag op een lijst met belangrijke Nederlandse tradities die nooit mogen verdwijnen.,0.0
De winnaar van het Junior Songfestival 2017 is: Fource!,0.0
Sommigen hadden wel 20 steken.,0.0
Een schelpenbank moet ervoor zorgen dat het water niet steeds zand van het eiland wegspoelt.,0.0
Het is een kinderfeest.,0.0
"Geld, grafschennis, gangsters?",2.0
We gaan uitgebreid van tevoren communiceren... waar de trajectcontroles staan.,0.0
"Preventieve opsporing en beboeten van mensen die via die media vooraf al aangeven dat ze wet en verordening gaan overtreden en anderen daartoe aanzetten, zou dan ook zeker binnen de grenzen van privacy moeten kunnen plaatsvinden.",1.0
"Die kindertjes van toen zijn inmiddels opgegroeid en voeden nu hun eigen peutertjes op, en als je een ding telkens weer hoort - op de speelplaats, bij de kinderopvang en bij de borrel, overal - is het dat jongetjes en meisjes totaal verschillend zijn.",1.0
"Minister, maak ruimte voor een nieuwe minister.",2.0
"En dan denk je misschien: Hee, dat mag niet.",1.0
Veel Catalanen keken vol ongeloof naar de toespraak van hun koning.,0.0
Leuk dat je kijkt.,1.0
"Dank, Ron en Jeroen.",2.0
"Vandaag pakt-ie dus een dag na zijn 20e verjaardag zijn tweede grote prijs, in Maleisie.",0.0
De ouders van Charlie zeggen dat ze blij zijn met het nieuwe sprankje hoop.,0.0
Hij heeft vandaag laten zien hoe sterk een fel hij is.,1.0
Een dief rommelt in je spullen of neemt misschien vast wat mee.,0.0
Dan Sparsh van 14 uit Amerika.,0.0
Dit zijn de minimumtemperaturen.,0.0
Er lagen heel veel vuilniszakken in.,1.0
"Het spettert wat, in het weekend nog weinig kans op opklaringen.",0.0
Andy wil daarmee reclame maken voor de schutterij.,0.0
'M 'n lieve tante was destijds boodschappen aan het doen aan de andere kant van Vught. ',0.0
We wilden een soort boekje maken dat mensen dan kunnen lezen.,0.0
"Ja, en Dit is dus zo 'n blauwvintonijn.",0.0
"ALLEMAAL: Drie, twee, een... GEJUICH Ja, nu komt het.",0.0
Morgen kiest Kenia een nieuwe president.,0.0
Dus al met al moeten wij het beste doen voor Ajax en voor het team.,1.0
"Die commissies, dat was Trump.",0.0
"Maar in de gevallen waarin subtiele afwijkingen zijn die wel wat zouden.. kunnen zijn, kan ik de computer gebruiken... als een onafhankelijke tweede reader... en die is net zo goed als ik EEN van mijn collega 's er op mee te kijken.",1.0
"Een journalist van de Volkskrant kwam daar wel heel letterlijk achter: Dat is wel heel onhandig, vooral als je ook nog moet betalen voor de wc.",1.0
"Intussen gaat het zoeken naar overlevenden van de aardbeving... die nog onder het puin liggen, gewoon door.",0.0
Dan heb je niet bepaald zin in fruit.,1.0
Dat kun je hun ook niet kwalijk nemen.,1.0
"Maar goed, genoeg over jullie.",1.0
Daarna gaat de temperatuur omlaag.,0.0
De jongen zit sinds die tijd in de gevangenis.,0.0
Het wordt van west naar oost 16 tot 18 graden.,0.0
Dat doet ze altijd in gewone kleding Want een politie-uniform en een hoofddoek dragen mag niet van de bazen bij de politie.,0.0
"O, het begint met 'koe '.",0.0
En daar is hij niet optimistisch over.,0.0
FC Utrecht moet nog een ronde overleven om dit seizoen Europa League voetbal te spelen.,0.0
Hier zit er een.,0.0
Dit brengt onze idealen wel een stap dichterbij.,1.0
Nederland was duidelijk beter dan Spanje en scoorde dus drie keer.,1.0
Morgen schijnt de zon van tijd tot tijd.,0.0
Dus ze kan nog niet goed lezen.,0.0
En de lopende band gaat goed.,0.0
En in september noemen ze het vechten tegen de bierkaai!,0.0
"Hallo allemaal, dagen waren reddingswerkers op zoek naar het Mexicaanse meisje Frida Sofia.",0.0
Het zijn normale dingen.,1.0
"Dat gebeurde niet, dus dan merk je dat je op een gegeven moment denkt: Zo is het eigenlijk wel genoeg.",1.0
Waar ben je gestoken?,2.0
Bloemen waren er van collega 's.,0.0
De winnaars mogen over twee weken naar de Europese finale in Milaan.,0.0
"Verder kwam ik deze harige, vieze zwerfhond tegen.",1.0
Als je jong bent is het best lastig om jezelf te zijn.,1.0
Maar toch kunnen er nadelen zitten... aan een hondje uit het buitenland halen.,1.0
En je hoorde dj Angelique die het Glazen Huis in gaat.,0.0
Dan door met nieuws over YouTube.,0.0
Het is misschien een beetje suf en technisch... maar ik ga het tegen btweten in toch even uitleggen.,1.0
Dat zegt de zwembond.,0.0
Dan voel ik gewoon dat ik de personage ben.,1.0
Deze zes mensen hebben dat getest.,0.0
Rood-met-witte stippen was de paddestoel die Eline en Femke op de foto zetten.,0.0
Even het ritme van mijn hersenvocht voelen.,2.0
Dat maakte 3FM DJ Domien vanmorgen bekend op de radio.,0.0
En dit is wat er dan kan gebeuren.,0.0
En dan komt het wel goed.,1.0
Alleen als ik boos ben zou ik het niet moeten spelen.,1.0
"GELACH APPLAUS Dames en heren, jongens en meisjes, de scholen zijn weer begonnen.",0.0
"Het is bedoeld voor rokers, om samen 28 dagen geen sigaret op te steken.",0.0
Verder alles over een enorm nieuw natuurreservaat in Mexico.,0.0
Ik weet niet beter dan dat we altijd minimaal vijf meter aanhouden.,0.0
Maar je doet het ergens voor natuurlijk.,1.0
En vanaf vanavond 20.00 uur is er een avondklok... en dan mag niemand meer naar buiten totdat Irma voorbij is.,0.0
En nog meer ruimtenieuws.,0.0
Dit is leuk voor de eerste generatie moslims.,1.0
De zoektocht naar de vrouw was veel in het nieuws.,0.0
Voor zover bekend zijn er geen slachtoffers.,0.0
Iets meer dan 400.000 mensen zitten nu zonder werk.,0.0
"En als je dan die lijn verder volgt omhoog kom je uit in Amerika, waar de hoofdkantoren staan.",0.0
"Gedupeerde reizigers, kom er maar in.",2.0
Het is geen toeval dat grote delen van Noord-Europa vrij en welvarend zijn en de islamitische wereld bijna geheel uit dictatoriale of autoritaire landen bestaat zonder vrijheid en welvaart.,1.0
Heel mooi opgezet en er is veel te zien.,1.0
Van Ginkel gaat achter de bal staan... en hij schiet hem fantastisch raak in de rechterbovenhoek.,1.0
Ik wist het zelf nog niet.,0.0
"En de programma's die we daar nu op gestart hebben, die gaan daar een grote bijdrage aan leveren.",0.0
"Ook andere 16- en 18plus-games zoals Call of Duty, Battlefield en Assasins Creed zijn populair.",0.0
Enerzijds de werkenden die in het stramien blijven zitten van de afgelopen halve eeuw.,0.0
Zonder de huid erop en in een pot.,0.0
De verwachting is dat dat levenslang zal luiden.,0.0
Ik denk dat hij in een nieuwe video excuses moet aanbieden.,1.0
Daar zit een kattenluik.,0.0
Dus je ziet ze ook echt naar elkaar toegroeien... en steun aan elkaar hebben.,1.0
Omdat je de hele tijd buiten wil spelen.,0.0
Ze had een zeldzame vorm van kanker.,0.0
En dan een groot raadsel in Harderwijk.,0.0
"Hallo allemaal, boyband Fource gaat Nederland vertegenwoordigen... bij de Europese finale van het Junior Songfestival.",0.0
De fossiele eieren zijn ontdekt op een bouwplaats.,0.0
Het is echt superleuk.,1.0
En er was een wortel... die door haar ring heen was er goed.,2.0
"Dat is 0,2 procent van het totaal aantal personenauto 's.",0.0
Er wordt al lekker gestemd.,1.0
"De demonstratie verliep onrustig, de politie gebruikte traangas om de demonstranten uit elkaar te drijven.",0.0
"Donderdag werd hier de fiets gevonden, die volgens de politie vrijwel zeker van Anne Faber is.",0.0
Dat geldt voor veel mensen hier.,0.0
De stelling waar je vandaag de hele dag op kunt reageren is: Een lerarenstaking is leuk.,1.0
In jargon; de bepalingsgrens.,0.0
"Ee van de drukste straten van de stad, waar veel toeristen komen.",0.0
En nu lekker een ochtendwandeling over het strand.,1.0
We zijn nu aan het voetballen.,0.0
"Omdat deze superprofessionals in snel tempo productiever zullen worden, kunnen veel sectoren toe met minder mensen.",0.0
Zeker als het gaat over haar specialisme.,2.0
"Ze brachten bijvoorbeeld eten, drinken en medicijnen... naar de inwoners van Sint Maarten.",0.0
"Nu verder met Goedemorgen Nederland, met Roos Moggre en Leonie ter Braak.",0.0
En natuurlijk deel ik de meest opvallende dingen graag met je.,1.0
Het blijven natuurlijk dieren.,0.0
"Ja, ik ben bang van wel.",1.0
De minder gezellige regeltjes krijg je meestal niet te horen.,1.0
Om mensen te laten schrikken.,2.0
Dat komt omdat haar muziek veel wordt beluisterd... en ze veel Taylor Swift-fanspullen verkoopt.,0.0
In Emmen is een auto tegen een benzinepomp gebotst.,0.0
"En als je goed je best doet, krijgt dat poppetje punten.",0.0
Ik vind het spannend genoeg.,1.0
Dat lijkt me niet zo handig.,1.0
"Als de politie binnenkomt, zingen vrijwilligers het Catalaanse volkslied.",0.0
"Arjen, nog even het allerbelangrijkste nieuws van deze zomer.",1.0
Vond je dit nou een vlammende video?,1.0
Sinds vanochtend heeft de politie niks meer bekendgemaakt.,0.0
De zonne-auto van de studenten uit Delft ligt eerste... in de World Solar Challenge in Australie.,0.0
Hun wekker was op hol geslagen omdat de stroom sneller was gaan lopen.,0.0
De kinderen mochten zelf kiezen waar hun filmpje over ging.,0.0
Maar daar hebben ze wel heel hard voor moeten werken.,0.0
En weet wanneer je vol zit.,2.0
"Want bij nieuwe huurders stijgt de huur gemiddeld met 14,8 procent.",0.0
Jongens kijken niet tegen meisjes aan alsof het geheimzinnige wezens van een andere planeet zijn.,1.0
Perron 11/12 op Utrecht Centraal.,0.0
Hieronder heb ik heel veel pockets.,0.0
Ik dacht: o grutjes.,0.0
Maar energiegebruik is niet per definitie schadelijk.,1.0
En natuurlijk hopen de dj 's dat de actie heel veel geld oplevert Vorig jaar was dat 8.7 miljoen euro.,0.0
"Er is veel onderzoek dat lijkt te bevestigen dat jongens en meisjes, mannen en vrouwen, verschillend in elkaar zitten.",0.0
Tijdens de orkaan schuilen Royal en Princess met hun familie in een veilige kamer in huis Verder valt de schade bij hun familie mee... want Royal en Princes wonen in een groot en stevig huis.,0.0
Maar de nieuwe regering heeft niets veranderd.,0.0
Ik stel voor dat we heel snel gaan lezen.,1.0
Gelukkig kon een dokter hem helpen en hoeft de jongen niet toeterend door het leven.,1.0
Dat betekent: veel competitie tussen wetenschappers.,0.0
Alle sporters werden tegelijk de berg opgetrokken.,0.0
Ik vond het heel leuk dat je keek en wens je nog een hele fijne avond.,1.0
Door het opwarmen van de aarde smelten in IJsland grote brokken ijs.,0.0
"Het is hier een groot feest, ik denk dat we tientallen huizen aan meedoen en ik zie om me heen honderden... kinderen, ze gaan langshuizen en deuren.",0.0
"Windmolens De energiepolitiek, bijvoorbeeld.",2.0
"In het midden ook wel wat zon, maar in het noorden blijft het bewolkt.",0.0
Deskundigen zijn dat nu aan het onderzoeken.,0.0
"Hoeveel van dit soort branden er zijn, dat weten we niet precies.",0.0
Ik vind leuke foto 's ook wel grappig... van als je iets leuks heb gedaan.,1.0
"Volgens de natuurorganisatie leven er in de Noordzee steeds minder bodemdieren... zoals kreeften, zee-egels en mosselen.",0.0
Niet langer voelen wij ons hopeloos.,1.0
Daar wordt het ook niet warmer dan 14 graden.,0.0
De nieuwe diensten voldoen aan de ene kant aan de behoefte van een groeiende groep klanten om hun huis en auto te delen.,0.0
Dat doen ze nu ook niet en ik heb daar schijt aan.,1.0
"Ja, je mag er zijn, ook als je salami zijn.",1.0
En sommige salafisten van nu doen dat dus nog steeds!,0.0
Morgen kiezen de Catalanen voor een nieuw bestuur.,0.0
De zender gooit opnieuw de programmering om en dan is er geen plaats meer voor Beelen.,0.0
Iedereen werd daarom al gecheckt op eventuele banden met Noord-Korea.,0.0
Maar laten we eerst de wedstrijd afwachten.,2.0
En dat je denkt: Dat wil ik helemaal niet.,1.0
"Hij kan nog wel dingen verbeteren aan hoe je een video maakt... dus je hoofd filmen in plaats van de muur, want dat deed hij vaak.",1.0
Dus bijvoorbeeld ook een heel pakje broodbeleg.,2.0
Zou het dan ook nog gelijk worden?,2.0
Volgens weerdeskundigen gaat het er voorlopig niet regenen en kan het dus wel even duren voordat alle branden zijn geblust.,0.0
Het raam van de hotelkamer op de 32e verdieping... van waaruit Stephan Paddock zijn duizenden kogels afvuurde.,0.0
Een afgetreden minister bij een huis met twintig halfnaakte vrouwen... die staan te rillen in de septemberkou... terwijl voorbijgangers toekijken in een fucking regenponcho!,0.0
Ik ken mensen in mijn kelder die minder vaak om hulp roepen.,0.0
"Dat betekent dat de jongens Nederland gaan vertegenwoordigen... bij de Europese finale van het songfestival voor kinderen, later dit jaar in Georgie.",0.0
Zo 'n grote pot met allemaal haaienvinnen.,0.0
"Als Max Verstappen er niet was geweest, was dit nooit gebeurd.",0.0
Ik denk dat het echte besef nog moet komen.,1.0
"Ik ga even bellen voor je, Fayah.",0.0
"Het is verder rustig weer, weinig wind.",0.0
Als ik geen wifi heb en ik moet iets naar mijn moeder sturen dan sms ik.,0.0
Die verwoestte het eiland vijf weken geleden.,0.0
Tegelijkertijd ik snap de emotie rondom dit onderwerp.,1.0
Voor meer woningbouw heb je investeerders nodig.,0.0
De beek is pas sinds kort geopend.,0.0
"Als m'n kinderen de kamer binnenkwamen, dan ging snel die koektrommel achter een kast.",0.0
De rechter liet daarom extra onderzoek doen naar het ongeluk.,0.0
"Het nieuwe islamitische Cornelius Haga Lyceum... dat in augustus opengaat, krijgt nu ook tegenwerking vanuit de islamitische onderwijshoek.",0.0
Hartstikke leuk dat je keek.,1.0
"Andere mensen delen dingen, waar ik mezelf in herkende.",0.0
Kromowidjojo zwom vanavond in Berlijn 22.93.,0.0
Vrijwilligers helpen de boeren het metaal weg te halen.,0.0
BERICHT-TOONTJES Bijna alle kinderen van groep 8 van basisschool De Tjalk in Zoetermeer hebben een smartphone.,0.0
Voor nu: thanks voor het kijken.,2.0
Hackers zorgden ervoor dat niemand meer bij computerbestanden kon en eisten geld.,0.0
De Glazen Huis-actie begint op 18 december.,0.0
"'Oke, ik neem 'm. '",0.0
Dan zeg ik gewoon 'hoi ' en dan zegt iemand 'hoi ' terug.,0.0
Dat is zelfs meer dan er ooit voor de auto van Batman werd betaald.,0.0
"Ze zijn net thuis, de tassen zijn nog niet eens uitgepakt.",0.0
De wereldhandel groeit dit jaar volgens calculaties van het IMF weer iets harder dan de wereldeconomie.,0.0
GELACH EN APPLAUS En dit is typisch de nieuwe NOS.,1.0
Op Facebook zette hij foto 's van geweren die hij had.,0.0
Let dan even goed op.,2.0
Met een paar millimeter voorsprong op de Duitser... en Groenewegen kan net niet meedoen om de dagzege.,0.0
gaat u die dan compenseren?,2.0
Naya is 13 en ook haar ogen zijn de afgelopen jaren flink achteruit gegaan.,0.0
En je helpt er ook nog eens mensen mee door een trui te dragen.,0.0
Dit geeft een broodnodige impuls om de landen in West-Afrika economisch te helpen opbouwen.,0.0
Het is nu eenmaal zo.,2.0
Dan was het echt heel erg moeilijk geweest om aan de top te komen.,1.0
"Op een andere afdeling wordt al langer een computer ingezet, borstkankeronderzoek bijvoorbeeld.",0.0
"Normaal zijn die dieren erg bang voor mensen, dus volgens deskundigen is dit heel bijzonder.",0.0
Toch is dat niet wat we zien gebeuren.,0.0
"Hij is dus opgepakt, maar de politie zoekt nog naar getuigen die kunnen helpen bij het onderzoek.",0.0
"Of die boeren, die werken zelf nu met zelfgemaakte ja-nee-stickers: Ja, wel huis-aan-huisbladen.",0.0
Maar vanaf eind volgend jaar dus trajectcontroles.,0.0
En over schattige virals gesproken.,1.0
Een herinnering voor later.,0.0
Volgens de politie lette de bestuurder niet op omdat ze aan het appen was.,0.0
GEJUICH EN APPLAUS Het is voor het eerst dat Nederlands immaterieel erfgoed de lijst haalt.,0.0
Ondanks alle gezelligheid vindt Guusje het ook wel eens balen dat ze de hele zomer hier zit.,0.0
Op nummer twee van de Gouden Windeilijst eindigde de kalfsleverworst van de Aldi.,0.0
Dus om een beetje geld te sparen voor zijn oude dag moet hij 600 huizen kopen?,0.0
"Ze is 9 jaar oud en woont met haar vader, moeder en broertje in IJmuiden.",0.0
"Sterker nog, ik had een moord gedaan om op 1 te komen... maar zelfs dat was dus niet genoeg geweest.",1.0
Maar leg dat maar eens uit aan iemand uit Jamaica.,2.0
De Amerikaanse is waarschijnlijk per ongeluk meegekomen uit Amerika.,0.0
Ook zijn er zeker 20 mensen gewond geraakt.,0.0
Ergens verderop wordt het geblust.,0.0
Een deel daarvan krijgen de leraren pas over een paar jaar.,0.0
Zijn laatste seizoen speelde hij bij Feyenoord.,0.0
MUZIEK Zo dadelijk in Nieuwsuur: Hartfalen in het voetbal.,0.0
Ik vind dat ik heel veel heb geleerd.,1.0
De dierenbescherming dacht mee over de kippenboerderij in Limburg.,0.0
Want Xander en Joost en dinges hebben een vlog en ik niet.,0.0
"Nee, dat niet.",0.0
In sommige steden gebeurt dat al.,0.0
Het elftal was uitgenodigd omdat ze afgelopen zomer het EK wonnen.,0.0
Volgens onderzoekers lukte dat dieven vorig jaar zo 'n 64.000 keer.,0.0
Die vindt het allemaal wel heul opwindend.,1.0
Alle dierenverzorgers van Burgers Zoo zijn geschrokken en verdrietig.,0.0
Het zal niet makkelijk voor hem zijn geweest.,1.0
Ik vertrouw niet op dat ze weg zijn.,1.0
Dan gaan we hier doorheen.,0.0
En van tien miljoen andere mensen.,0.0
Misschien levert het wel betere kwaliteit van onderwijs op.,0.0
"Leuke avond nog, doei!",1.0
Blijven we ons gedragen als verwende kinderen of worden we eindelijk volwassen?,1.0
Ik maak me zorgen over dit soort salafistische organisaties.,1.0
'Is dat wel echt?,2.0
GELACH Wat... wat is zijn visie op de discussie?,2.0
Daar krijgen we dan uitleg over.,0.0
Dat is toch heel veel?!,1.0
Dus ik vind het wel een goed plan.,1.0
Inwoners van dit dorpje werden wakker met een dik pak sneeuw!,0.0
"En dan beslissen we of we hem erbij houden, bij de groep.",0.0
Het gaat om een zeer besmettelijke variant van het virus.,0.0
Dat seksuele intimidatie en misbruik in de sport... heel veel voorkomt en dat het immens leed veroorzaakt.,0.0
Ik hoef minder vaak te denken dat ik recht moet zitten... want dat gaat automatisch soms wel.,0.0
Die waren na een ongeluk uit een vrachtwagen gevallen.,0.0
"Een bevolkingsgroep uit Myanmar, in Azie.",0.0
Dat valt dus nogal mee.,1.0
Er zitten dus twee kanten in het verhaal... landelijk heeft hij het niet goed gedaan maar binnen de partij is hij zeer geliefd.,1.0
"Voor ons land maar liefst een kwart van alle vermogen, ruim 270 miljard euro.",0.0
Waylon doet niet voor het eerst mee aan de liedjeswedstrijd.,0.0
Ze is supermooi en superaardig.,1.0
"En hoe lief ze haar ook vindt, af en toe is dat best zwaar.",1.0
Het is mooi om te zien wat ze tot nu toe allemaal gebouwd hebben.,1.0
"Nee, ik snap het niet, maar... Oke.",1.0
"Maar, heel veel dingen die erin staan, zijn al bekend.",0.0
Dit zal er dus niet meer te zien zijn.,0.0
Amerika en Zuid-Korea hebben vannacht raketten afgeschoten... als reactie op een langeafstandsraket die Noord-Korea gisteren lanceerde.,0.0
De grenzen van de opvang.,2.0
"Wanneer mensen bij je komen en geloven... dat er in een vorig leven, want daar gaat het over... dat er in een vorig leven iets ontstaan is... dan werkt dat prima.",1.0
"Wat deze stunttechnologie speciaal maakt is de combinatie van artisticiteit, idealisme, ondernemingslust en design.",1.0
"Maar we weten dat ze geboren is in de SP, ze is de dochter van de oprichter.",0.0
Nu is het anders.,2.0
'-discussies waar links zo goed in is.,1.0
"Maar het is natuurlijk wel de taak van de overheid... ...om maatregelen te nemen, als iets onveilig blijkt voor burgers.",1.0
"En nog meer sportnieuws, want de Nederlandse voetbalvrouwen... hebben gisteren met 5-0 gewonnen van Slowakije.",0.0
De temperatuur daalt tot een graad of 14... en in de loop van de nacht gaat vanuit het westen de bewolking langzamerhand toenemen.,0.0
Na morgen blijft het wisselvallig.,0.0
Die probeerde hij een beetje te ontlopen.,0.0
Maar ik was heel slecht.,1.0
Fource krijgt een eigen nummer waarmee ze gaan optreden in Georgie.,0.0
"Een oud-collega van Poch, Dirk Lokhorst, volgde de uitspraak op de voet vanuit Nederland.",0.0
In een discotheek op het Spaanse eiland Tenerife is vannacht de dansvloer ingestort.,0.0
Dat ze een paar parkeervakken kunnen weghalen... zodat het minder gevaarlijk wordt.,0.0
"Uiteraard niet door indoctrinatie of hersenspoeling, maar wel door wetshandhaving, regels en sancties.",0.0
"Samen met onze tolk, Frans Timmermans.",0.0
"GELACH APPLAUS Ik bedoel: het is geen onaantrekkelijk jongen, laten we eerlijk zijn.",1.0
Het plan om onze polders en wateren vol te plempen met windmolens is in onze tijd natuurlijk volstrekt achterhaald.,1.0
Het is voor het eerst dat deze dieren in Nederland te zien zijn.,0.0
"Ook z 'n kinderen Noelle, Roan, Jorden en Aidan zijn veel te zien in de documentaire.",0.0
Het pluimvee krijgt bovendien etensresten en geen speciaal geproduceerd mais.,0.0
Hiermee promoveer je en mag je jezelf doctor noemen.,0.0
Dan moet je in EEN keer afscheid nemen en dat is moeilijk.,1.0
Deze grot bijvoorbeeld is nog niet lang geleden gevonden.,0.0
Omdat er bommeldingen waren gedaan.,0.0
Met sirenes en knipperlichten spelen ze de kersthit All I Want For Christmas.,0.0
Dat zegt wel iets.,1.0
"'Groetjes, Victor Mids van Mindfuck. '",2.0
"Wow, hoe kan dat?",2.0
"En na de laatste daling hebben de ziekenhuizen, de artsen... de verpleegkundigen wel heel graag doorgezet deze daling... maar dat is dus helaas niet gebeurd.",1.0
Kwetsbare mensen worden heel hard getroffen.,0.0
"'19 graden, regen op de Wadden en morgenochtend mist? '",0.0
"Een nieuw tijdperk als land, denk ik gewoon.",1.0
Daar wordt nu hard aan gewerkt.,0.0
"1972 Geboren te Harderwijk 1991-1996 kunstgeschiedenis VU Amsterdam, met specialisatie schilderkunst van de 19de eeuw.",0.0
Veel mensen geven geld: ruim 1 miljoen euro in totaal.,0.0
"Het is maandag en dus vertellen je wat er allemaal gaat gebeuren deze week, in de week die komt.",0.0
Sinds deze week draait-ie in de bios: Coco.,0.0
De verdachte is een 44-jarige man.,0.0
Zij vonden het optreden... Heel erg leuk.,0.0
Daar kun je trainen met de beste trainers en zijn er sponsors die helpen.,0.0
Er zal dus nog afgefakkeld worden.,0.0
"Zakken chips, snoep, koekjes.",2.0
"Maar dat ze ook echt broers zouden zijn, hadden ze nooit verwacht.",0.0
Witteveen verkoopt vooral kleding voor dames van boven de 40.,0.0
Maar voor een belangrijk onderzoek in het ziekenhuis... moest hij de hele nacht wakker blijven.,0.0
Verpleegkundigen zeggen in een onderzoek dat het niet langer gaat zo.,0.0
Maar toch toont Utrecht zich hier van zijn beste zijde... en wint met 1-0 van Zenit Sint-Petersburg.,0.0
Nederland heeft zich al zes keer niet gekwalificeerd.,0.0
"Joris is in Apeldoorn, op het Marktplein, waar het Glazen Huis komt te staan.",0.0
Het bedrijf gaat het eerst testen in een stad in Amerika.,0.0
Sindsdien heeft de discussie daarover zich alleen maar verhevigd.,0.0
"Ook volgend jaar is er meer dan 3% groei, zegt het Centraal Bureau voor de Statistiek.",0.0
In de Suzuki Vitara en de Jeep Grand Cherokee zit sjoemelsoftware.,0.0
Dan door naar gedoe over het nieuwe album van Taylor Swift: Reputation.,0.0
Met het zetten van deze handtekening heeft Paleis Soestdijk een nieuwe eigenaar.,0.0
Een moeilijke en spannende operatie die inmiddels vaak wordt gedaan in Nederland.,1.0
Na een voorbeeldig mooie pass van Braafheid op Klaiber... is daar de dubbele kans voor Dessers.,1.0
